id_transaccion,id_cliente,fecha_transaccion,categoria_producto,cantidad,precio_unitario,descuento_pct,canal_venta,monto_compra,nombre,edad,ciudad,fecha_registro,categoria_favorita,ingreso_estimado,ciudad_normalizada,segmento_cliente,canal_adquisicion,metodo_pago_preferido,score_fidelizacion,region,macrozona,outlier_precio_unitario_iqr,outlier_precio_unitario_zscore,outlier_monto_compra_iqr,outlier_monto_compra_zscore,monto_bruto,monto_descuento,antiguedad_cliente_dias,nivel_fidelizacion,codigo_macrozona,compra_con_descuento,score_fidelizacion_norm,grupo_edad,rango_monto_compra
50022,1215,2024-01-10,Hogar,1,65720.32,0.1,Web,59148.29,Sofía Díaz,28,Rancagua,2022-09-22,Libros,574547.0,rancagua,Plata,Referido,Transferencia,41,RegiÃ³n de O'Higgins,Centro,False,False,False,False,65720.32,6572.032000000001,475,Baja,2,Sí,0.016666666666666666,18-29,Bajo
50023,1187,2024-05-15,Moda,3,144942.75,0.0,Web,434828.25,Sofía Contreras,50,Santiago,2022-08-08,Tecnología,1085456.0,santiago,Bronce,Referido,Transferencia,55,RegiÃ³n Metropolitana,Centro,False,False,False,False,434828.25,0.0,646,Baja,2,No,0.25,45-59,Alto
50024,1240,2024-07-16,Deportes,5,24165.53,0.15,App,102703.5,Antonia Fuentes,60,Valparaíso,2022-09-24,Belleza,1130335.0,valparaiso,Oro,Facebook,PayPal,100,Sin información,Sin información,False,False,False,False,120827.65,18124.1475,661,Alta,0,Sí,1.0,60+,Bajo
50025,1027,2024-05-20,Moda,5,102373.76,0.0,Web,511868.8,Pedro Morales,25,Concepción,2024-08-21,Moda,618112.0,concepcion,Plata,Facebook,Transferencia,71,Sin información,Sin información,False,False,False,False,511868.8,0.0,-93,Media,0,No,0.5166666666666667,18-29,Alto
50026,1283,2024-07-14,Libros,3,185196.63,0.15,Web,472251.41,Fernanda Martínez,59,Valparaíso,2023-02-22,Libros,820956.0,valparaiso,Plata,Facebook,PayPal,55,Sin información,Sin información,False,False,False,False,555589.89,83338.4835,508,Baja,0,Sí,0.25,45-59,Alto
50027,1052,2024-08-28,Tecnología,4,149057.42,0.15,Marketplace,506795.23,Valentina Contreras,20,Concepción,2024-08-21,Belleza,961551.0,concepcion,Premium,Referido,Transferencia,60,Sin información,Sin información,False,False,False,False,596229.68,89434.452,7,Baja,0,Sí,0.3333333333333333,18-29,Alto
50028,1145,2024-03-15,Moda,3,242848.62,0.15,Web,619263.98,Juan Martínez,38,Puerto Montt,2023-02-21,Belleza,990452.0,puerto montt,Bronce,Instagram,Tarjeta crédito,97,RegiÃ³n de Los Lagos,Sur,False,False,False,False,728545.86,109281.879,388,Alta,3,Sí,0.95,30-44,Muy alto
50029,1006,2024-08-01,Hogar,5,25165.52,0.1,Marketplace,113244.84,Benjamín Díaz,43,Concepción,2023-05-06,Deportes,300000.0,concepcion,Oro,Facebook,Tarjeta crédito,78,Sin información,Sin información,False,False,False,False,125827.6,12582.760000000002,453,Media,0,Sí,0.6333333333333333,30-44,Bajo
50030,1116,2024-08-09,Libros,1,86120.99,0.0,App,73202.84,María Torres,36,Concepción,2023-02-03,Libros,778801.0,concepcion,Oro,Orgánico,Transferencia,79,Sin información,Sin información,False,False,False,False,86120.99,0.0,553,Media,0,No,0.65,30-44,Bajo
50031,1161,2024-08-31,Libros,3,239187.32,0.0,Marketplace,717561.96,Vicente Torres,45,Antofagasta,2023-01-20,Moda,1276579.0,antofagasta,Oro,Facebook,Tarjeta crédito,95,RegiÃ³n de Antofagasta,Norte,False,False,False,False,717561.96,0.0,589,Alta,1,No,0.9166666666666666,45-59,Muy alto
50032,1040,2024-02-02,Hogar,4,149501.15,0.2,App,478403.68,María Rojas,21,Concepción,2023-10-14,Moda,1162066.0,concepcion,Plata,Google Ads,PayPal,51,Sin información,Sin información,False,False,False,False,598004.6,119600.92,111,Baja,0,Sí,0.18333333333333332,18-29,Alto
50033,1248,2024-02-03,Tecnología,2,48654.22,0.1,App,87577.6,Sofía Díaz,40,Concepción,2023-06-01,Tecnología,847868.0,concepcion,Premium,Orgánico,Tarjeta débito,52,Sin información,Sin información,False,False,False,False,97308.44,9730.844000000001,247,Baja,0,Sí,0.2,30-44,Bajo
50034,1234,2024-05-19,Libros,4,25857.41,0.2,App,82743.71,Juan Hernández,56,Temuco,2023-10-26,Moda,880253.0,temuco,Bronce,Instagram,PayPal,87,RegiÃ³n de La AraucanÃ­a,Sur,False,False,False,False,103429.64,20685.928,206,Alta,3,Sí,0.7833333333333333,45-59,Bajo
50035,1068,2024-11-09,Libros,2,84525.93,0.05,Marketplace,160599.27,Benjamín Hernández,56,Concepción,2024-02-04,Belleza,1158712.0,concepcion,Bronce,Instagram,Tarjeta débito,69,Sin información,Sin información,False,False,False,False,169051.86,8452.592999999999,279,Media,0,Sí,0.48333333333333334,45-59,Medio
50036,1257,2024-11-20,Libros,1,68223.08,0.0,Web,68223.08,Daniela Díaz,54,Santiago,2023-10-10,Belleza,532963.0,santiago,Oro,Orgánico,PayPal,45,RegiÃ³n Metropolitana,Centro,False,False,False,False,68223.08,0.0,407,Baja,2,No,0.08333333333333333,45-59,Bajo
50037,1068,2024-10-10,Moda,3,76653.27,0.1,Web,206963.83,Benjamín Hernández,56,Concepción,2024-02-04,Belleza,1158712.0,concepcion,Bronce,Instagram,Tarjeta débito,69,Sin información,Sin información,False,False,False,False,229959.81,22995.981,249,Media,0,Sí,0.48333333333333334,45-59,Medio
50038,1047,2024-12-08,Tecnología,4,244296.23,0.0,Web,977184.92,Catalina Muñoz,57,Concepción,2024-01-09,Moda,835300.0,concepcion,Oro,Referido,Tarjeta débito,59,Sin información,Sin información,False,False,False,False,977184.92,0.0,334,Baja,0,No,0.31666666666666665,45-59,Muy alto
50039,1015,2024-08-11,Belleza,5,88721.27,0.05,Web,421426.03,María Soto,28,La Serena,2024-02-15,Belleza,675193.0,la serena,Plata,Facebook,PayPal,65,RegiÃ³n de Coquimbo,Norte,False,False,False,False,443606.35000000003,22180.317500000005,178,Media,1,Sí,0.4166666666666667,18-29,Alto
50040,1134,2024-03-23,Libros,4,207580.91,0.0,Web,830323.64,Vicente Muñoz,55,Antofagasta,2022-07-09,Deportes,787557.0,antofagasta,Bronce,Google Ads,Tarjeta débito,71,RegiÃ³n de Antofagasta,Norte,False,False,False,False,830323.64,0.0,623,Media,1,No,0.5166666666666667,45-59,Muy alto
50041,1072,2024-03-07,Libros,1,147722.61,0.1,Marketplace,132950.35,Sofía Díaz,62,Antofagasta,2022-10-21,Moda,719718.0,antofagasta,Plata,Facebook,PayPal,97,RegiÃ³n de Antofagasta,Norte,False,False,False,False,147722.61,14772.260999999999,503,Alta,1,Sí,0.95,60+,Bajo
50042,1127,2024-01-12,Moda,3,208805.11,0.0,App,626415.33,Juan Martínez,23,La Serena,2024-06-06,Hogar,1106663.0,la serena,Premium,Instagram,Tarjeta crédito,47,RegiÃ³n de Coquimbo,Norte,False,False,False,False,626415.33,0.0,-146,Baja,1,No,0.11666666666666667,18-29,Muy alto
50043,1267,2024-02-03,Belleza,1,72401.37,0.1,Web,65161.23,Fernanda López,52,Valparaíso,2024-05-21,Hogar,1201143.0,valparaiso,Premium,Referido,Tarjeta débito,70,Sin información,Sin información,False,False,False,False,72401.37,7240.137,-108,Media,0,Sí,0.5,45-59,Bajo
50044,1255,2024-07-11,Moda,1,164270.66,0.1,Web,147843.59,Matías Torres,26,Puerto Montt,2023-11-09,Belleza,542666.0,puerto montt,Plata,Referido,Tarjeta crédito,88,RegiÃ³n de Los Lagos,Sur,False,False,False,False,164270.66,16427.066000000003,245,Alta,3,Sí,0.8,18-29,Medio
50045,1072,2024-10-27,Tecnología,4,60415.88,0.05,Web,229580.34,Sofía Díaz,62,Antofagasta,2022-10-21,Moda,719718.0,antofagasta,Plata,Facebook,PayPal,97,RegiÃ³n de Antofagasta,Norte,False,False,False,False,241663.52,12083.176,737,Alta,1,Sí,0.95,60+,Medio
50046,1072,2024-07-10,Moda,3,111902.72,0.05,Marketplace,318922.75,Sofía Díaz,62,Antofagasta,2022-10-21,Moda,719718.0,antofagasta,Plata,Facebook,PayPal,97,RegiÃ³n de Antofagasta,Norte,False,False,False,False,335708.16000000003,16785.408000000003,628,Alta,1,Sí,0.95,60+,Alto
50047,1111,2024-03-01,Deportes,1,82495.67,0.05,Marketplace,78370.89,Javiera Fuentes,42,La Serena,2023-08-03,Belleza,1441947.0,la serena,Oro,Instagram,PayPal,82,RegiÃ³n de Coquimbo,Norte,False,False,False,False,82495.67,4124.7835000000005,211,Media,1,Sí,0.7,30-44,Bajo
50048,1007,2024-07-15,Moda,4,108010.95,0.0,Web,432043.8,Pedro Martínez,19,Antofagasta,2023-04-14,Tecnología,983762.0,antofagasta,Bronce,Referido,PayPal,71,RegiÃ³n de Antofagasta,Norte,False,False,False,False,432043.8,0.0,458,Media,1,No,0.5166666666666667,18-29,Alto
50049,1145,2024-09-16,Moda,5,212017.08,0.0,Marketplace,1060085.4,Juan Martínez,38,Puerto Montt,2023-02-21,Belleza,990452.0,puerto montt,Bronce,Instagram,Tarjeta crédito,97,RegiÃ³n de Los Lagos,Sur,False,False,False,False,1060085.4,0.0,573,Alta,3,No,0.95,30-44,Muy alto
50050,1111,2024-08-16,Moda,2,167432.4,0.0,App,334864.8,Javiera Fuentes,42,La Serena,2023-08-03,Belleza,1441947.0,la serena,Oro,Instagram,PayPal,82,RegiÃ³n de Coquimbo,Norte,False,False,False,False,334864.8,0.0,379,Media,1,No,0.7,30-44,Alto
50051,1100,2024-04-08,Tecnología,1,53617.51,0.15,App,45574.88,Benjamín González,33,Valparaíso,2024-09-24,Moda,676564.0,valparaiso,Premium,Referido,PayPal,96,Sin información,Sin información,False,False,False,False,53617.51,8042.6265,-169,Alta,0,Sí,0.9333333333333333,30-44,Bajo
50052,1194,2024-03-16,Deportes,3,148256.21,0.0,App,444768.63,Pedro Sepúlveda,30,Temuco,2023-03-15,Libros,652575.0,temuco,Bronce,Google Ads,Transferencia,53,RegiÃ³n de La AraucanÃ­a,Sur,False,False,False,False,444768.63,0.0,367,Baja,3,No,0.21666666666666667,30-44,Alto
50053,1196,2024-02-15,Hogar,4,95015.76,0.05,Marketplace,361059.89,Valentina Muñoz,47,Rancagua,2023-09-28,Libros,1011346.0,rancagua,Premium,Referido,Transferencia,76,RegiÃ³n de O'Higgins,Centro,False,False,False,False,380063.04,19003.152,140,Media,2,Sí,0.6,45-59,Alto
50054,1209,2024-07-13,Belleza,1,81377.19,0.05,Marketplace,77308.33,María Fuentes,62,Antofagasta,2022-06-29,Hogar,1064666.0,antofagasta,Plata,Referido,Tarjeta débito,42,RegiÃ³n de Antofagasta,Norte,False,False,False,False,81377.19,4068.8595000000005,745,Baja,1,Sí,0.03333333333333333,60+,Bajo
50055,1024,2024-12-15,Tecnología,2,167244.91,0.1,App,301040.84,María Díaz,50,Rancagua,2022-01-25,Deportes,935175.0,rancagua,Bronce,Orgánico,Tarjeta débito,98,RegiÃ³n de O'Higgins,Centro,False,False,False,False,334489.82,33448.982,1055,Alta,2,Sí,0.9666666666666667,45-59,Alto
50056,1247,2024-12-08,Libros,2,128492.73,0.0,Web,256985.46,Camila Rodríguez,66,Valparaíso,2024-08-14,Libros,1287879.0,valparaiso,Oro,Referido,Tarjeta crédito,77,Sin información,Sin información,False,False,False,False,256985.46,0.0,116,Media,0,No,0.6166666666666667,60+,Medio
50057,1231,2024-10-22,Deportes,2,143302.04,0.0,Marketplace,286604.08,Sofía Contreras,61,La Serena,2022-11-02,Belleza,1100487.0,la serena,Plata,Orgánico,Tarjeta crédito,99,RegiÃ³n de Coquimbo,Norte,False,False,False,False,286604.08,0.0,720,Alta,1,No,0.9833333333333333,60+,Medio
50058,1255,2024-08-07,Tecnología,1,189463.61,0.0,App,189463.61,Matías Torres,26,Puerto Montt,2023-11-09,Belleza,542666.0,puerto montt,Plata,Referido,Tarjeta crédito,88,RegiÃ³n de Los Lagos,Sur,False,False,False,False,189463.61,0.0,272,Alta,3,No,0.8,18-29,Medio
50059,1078,2024-12-23,Deportes,3,133047.21,0.05,Web,379184.55,Camila Hernández,44,Concepción,2024-03-17,Moda,368408.0,concepcion,Premium,Instagram,Tarjeta crédito,71,Sin información,Sin información,False,False,False,False,399141.63,19957.0815,281,Media,0,Sí,0.5166666666666667,30-44,Alto
50060,1027,2024-04-15,Tecnología,3,93795.34,0.0,Web,281386.02,Pedro Morales,25,Concepción,2024-08-21,Moda,618112.0,concepcion,Plata,Facebook,Transferencia,71,Sin información,Sin información,False,False,False,False,281386.02,0.0,-128,Media,0,No,0.5166666666666667,18-29,Medio
50061,1219,2024-04-19,Belleza,3,146983.07,0.1,App,396854.29,Vicente Soto,48,La Serena,2022-03-06,Libros,1129704.0,la serena,Premium,Referido,Tarjeta crédito,60,RegiÃ³n de Coquimbo,Norte,False,False,False,False,440949.21,44094.921,775,Baja,1,Sí,0.3333333333333333,45-59,Alto
50062,1239,2024-04-15,Libros,4,109428.71,0.0,Marketplace,437714.84,Camila Sepúlveda,33,Puerto Montt,2024-10-23,Deportes,989563.0,puerto montt,Bronce,Instagram,Tarjeta débito,64,RegiÃ³n de Los Lagos,Sur,False,False,False,False,437714.84,0.0,-191,Baja,3,No,0.4,30-44,Alto
50063,1060,2024-05-07,Moda,5,207281.58,0.2,App,829126.32,Catalina Rojas,44,Rancagua,2024-12-31,Hogar,549894.0,rancagua,Bronce,Orgánico,Tarjeta crédito,48,RegiÃ³n de O'Higgins,Centro,False,False,False,False,1036407.8999999999,207281.58,-238,Baja,2,Sí,0.13333333333333333,30-44,Muy alto
50064,1105,2024-10-31,Libros,4,85056.59,0.0,Web,340226.36,Diego Torres,36,Concepción,2024-03-19,Tecnología,335011.0,concepcion,Plata,Facebook,Tarjeta débito,68,Sin información,Sin información,False,False,False,False,340226.36,0.0,226,Media,0,No,0.4666666666666667,30-44,Alto
50065,1292,2024-07-13,Libros,5,141977.9,0.05,Web,674395.02,Benjamín Sepúlveda,39,Santiago,2023-08-30,Tecnología,428255.0,santiago,Bronce,Orgánico,Tarjeta débito,82,RegiÃ³n Metropolitana,Centro,False,False,False,False,709889.5,35494.475,318,Media,2,Sí,0.7,30-44,Muy alto
50066,1299,2024-04-02,Tecnología,5,239166.98,0.2,Web,956667.92,Valentina Morales,31,Valparaíso,2023-01-31,Hogar,300000.0,valparaiso,Premium,Instagram,Tarjeta crédito,56,Sin información,Sin información,False,False,False,False,1195834.9000000001,239166.98000000004,427,Baja,0,Sí,0.26666666666666666,30-44,Muy alto
50067,1054,2024-02-08,Tecnología,2,140454.14,0.15,App,238772.04,Diego Díaz,55,Antofagasta,2022-05-18,Deportes,747340.0,antofagasta,Bronce,Orgánico,Tarjeta débito,55,RegiÃ³n de Antofagasta,Norte,False,False,False,False,280908.28,42136.242000000006,631,Baja,1,Sí,0.25,45-59,Medio
50068,1227,2024-04-09,Hogar,4,73229.41,0.2,App,234334.11,Antonia Silva,45,Santiago,2024-01-07,Libros,999154.0,santiago,Premium,Orgánico,Transferencia,96,RegiÃ³n Metropolitana,Centro,False,False,False,False,292917.64,58583.528000000006,93,Alta,2,Sí,0.9333333333333333,45-59,Medio
50069,1043,2024-05-22,Hogar,5,78986.33,0.0,App,394931.65,Juan López,53,Puerto Montt,2022-08-01,Hogar,828432.0,puerto montt,Oro,Google Ads,Tarjeta débito,91,RegiÃ³n de Los Lagos,Sur,False,False,False,False,394931.65,0.0,660,Alta,3,No,0.85,45-59,Alto
50070,1204,2024-03-14,Hogar,1,192105.39,0.05,Marketplace,182500.12,Antonia Torres,61,Valparaíso,2023-04-28,Deportes,778537.0,valparaiso,Oro,Google Ads,Transferencia,99,Sin información,Sin información,False,False,False,False,192105.39,9605.2695,321,Alta,0,Sí,0.9833333333333333,60+,Medio
50071,1292,2024-04-28,Libros,5,46127.91,0.0,App,230639.55,Benjamín Sepúlveda,39,Santiago,2023-08-30,Tecnología,428255.0,santiago,Bronce,Orgánico,Tarjeta débito,82,RegiÃ³n Metropolitana,Centro,False,False,False,False,230639.55000000002,0.0,242,Media,2,No,0.7,30-44,Medio
50072,1092,2024-01-06,Tecnología,5,9004.32,0.15,Web,38268.36,Camila Martínez,61,Puerto Montt,2024-04-17,Belleza,749609.0,puerto montt,Plata,Google Ads,Tarjeta crédito,42,RegiÃ³n de Los Lagos,Sur,False,False,False,False,45021.6,6753.24,-102,Baja,3,Sí,0.03333333333333333,60+,Bajo
50073,1104,2024-10-16,Tecnología,5,245006.4,0.0,Web,1107260.74625,Juan Rodríguez,45,Santiago,2023-08-10,Hogar,680194.0,santiago,Bronce,Orgánico,Tarjeta débito,84,RegiÃ³n Metropolitana,Centro,False,False,True,False,1225032.0,0.0,433,Media,2,No,0.7333333333333333,45-59,Muy alto
50074,1096,2024-06-18,Belleza,4,249560.96,0.15,App,848507.26,Antonia Sepúlveda,65,Antofagasta,2023-09-25,Tecnología,1274773.0,antofagasta,Plata,Instagram,Tarjeta débito,43,RegiÃ³n de Antofagasta,Norte,False,False,False,False,998243.84,149736.576,267,Baja,1,Sí,0.05,60+,Muy alto
50075,1294,2024-04-09,Tecnología,4,208699.66,0.1,Web,751318.78,Diego Martínez,44,Santiago,2024-11-13,Libros,855625.0,santiago,Bronce,Orgánico,Tarjeta crédito,67,RegiÃ³n Metropolitana,Centro,False,False,False,False,834798.64,83479.864,-218,Media,2,Sí,0.45,30-44,Muy alto
50076,1211,2024-07-16,Belleza,3,154704.94,0.0,Marketplace,464114.82,Daniela González,33,Temuco,2023-08-08,Deportes,753326.0,temuco,Plata,Orgánico,Tarjeta crédito,78,RegiÃ³n de La AraucanÃ­a,Sur,False,False,False,False,464114.82,0.0,343,Media,3,No,0.6333333333333333,30-44,Alto
50077,1011,2024-06-09,Hogar,4,120162.2,0.0,App,456616.36,Pedro Contreras,29,Valparaíso,2023-06-08,Deportes,646982.0,valparaiso,Plata,Instagram,Tarjeta débito,71,Sin información,Sin información,False,False,False,False,480648.8,0.0,367,Media,0,No,0.5166666666666667,18-29,Alto
50078,1133,2024-09-26,Libros,5,222178.56,0.05,Marketplace,1055348.16,Pedro Martínez,52,Puerto Montt,2024-07-18,Moda,1345570.0,puerto montt,Bronce,Orgánico,Tarjeta crédito,90,RegiÃ³n de Los Lagos,Sur,False,False,False,False,1110892.8,55544.64000000001,70,Alta,3,Sí,0.8333333333333334,45-59,Muy alto
50079,1064,2024-08-05,Moda,4,88310.09,0.05,Marketplace,335578.34,Pedro Contreras,60,Antofagasta,2023-08-27,Deportes,675492.0,antofagasta,Oro,Google Ads,Transferencia,84,RegiÃ³n de Antofagasta,Norte,False,False,False,False,353240.36,17662.018,344,Media,1,Sí,0.7333333333333333,60+,Alto
50080,1232,2024-05-11,Belleza,1,166312.33,0.0,App,166312.33,Javiera Hernández,47,Santiago,2024-11-22,Tecnología,607014.0,santiago,Plata,Google Ads,PayPal,91,RegiÃ³n Metropolitana,Centro,False,False,False,False,166312.33,0.0,-195,Alta,2,No,0.85,45-59,Medio
50081,1236,2024-01-17,Belleza,5,149930.87,0.05,Web,712171.63,Juan Torres,69,Antofagasta,2022-08-19,Libros,465046.0,antofagasta,Bronce,Instagram,Transferencia,82,RegiÃ³n de Antofagasta,Norte,False,False,False,False,749654.35,37482.7175,516,Media,1,Sí,0.7,60+,Muy alto
50082,1208,2024-12-03,Tecnología,4,56836.94,0.05,App,215980.37,Catalina Hernández,69,Concepción,2022-01-15,Libros,963387.0,concepcion,Oro,Referido,Transferencia,92,Sin información,Sin información,False,False,False,False,227347.76,11367.388,1053,Alta,0,Sí,0.8666666666666667,60+,Medio
50083,1066,2024-01-20,Tecnología,1,35063.48,0.0,Web,35063.48,Fernanda Soto,20,Antofagasta,2022-05-02,Belleza,914131.0,antofagasta,Premium,Orgánico,Tarjeta crédito,84,RegiÃ³n de Antofagasta,Norte,False,False,False,False,35063.48,0.0,628,Media,1,No,0.7333333333333333,18-29,Bajo
50084,1010,2024-10-10,Deportes,2,135604.98,0.0,Marketplace,271209.96,Javiera Morales,58,Temuco,2023-02-20,Libros,1043161.0,temuco,Oro,Facebook,Transferencia,92,RegiÃ³n de La AraucanÃ­a,Sur,False,False,False,False,271209.96,0.0,598,Alta,3,No,0.8666666666666667,45-59,Medio
50085,1155,2024-12-12,Libros,1,100341.01,0.1,Web,90306.91,Javiera Fuentes,57,Temuco,2024-09-08,Tecnología,708074.0,temuco,Oro,Facebook,PayPal,65,RegiÃ³n de La AraucanÃ­a,Sur,False,False,False,False,100341.01,10034.101,95,Media,3,Sí,0.4166666666666667,45-59,Bajo
