id_transaccion,id_cliente,fecha_transaccion,categoria_producto,cantidad,precio_unitario,descuento_pct,canal_venta,monto_compra,nombre,edad,ciudad,fecha_registro,categoria_favorita,ingreso_estimado
50023,1187,2024-05-15,Moda,3,144942.75,0.0,Web,434828.25,Sofía Contreras,50.0,Santiago,2022-08-08,Tecnología,1085456.0
50024,1240,2024-07-16,Deportes,5,24165.53,0.15,App,102703.5,Antonia Fuentes,60.0,Valparaíso,2022-09-24,Belleza,1130335.0
50025,1027,2024-05-20,Moda,5,102373.76,0.0,Web,511868.8,Pedro Morales,25.0,CONCEPCIÓN,2024-08-21,Moda,618112.0
50026,1283,2024-07-14,Libros,3,185196.63,0.15,Web,472251.41,Fernanda Martínez,59.0,Valparaíso,2023-02-22,Libros,820956.0
50027,1052,2024-08-28,Tecnología,4,149057.42,0.15,Marketplace,506795.23,Valentina Contreras,20.0,Concepción,2024-08-21,Belleza,961551.0
50028,1145,2024-03-15,Moda,3,242848.62,0.15,Web,619263.98,Juan Martínez,38.0,Puerto Montt,2023-02-21,Belleza,990452.0
50029,1006,2024-08-01,Hogar,5,25165.52,0.1,Marketplace,113244.84,Benjamín Díaz,43.0,Concepción,2023-05-06,Deportes,300000.0
50030,1116,2024-08-09,Libros,1,86120.99,,App,73202.84,María Torres,36.0,CONCEPCIÓN,2023-02-03,Libros,778801.0
50031,1161,2024-08-31,Libros,3,239187.32,0.0,Marketplace,717561.96,Vicente Torres,45.0,Antofagasta,2023-01-20,Moda,1276579.0
50032,1040,2024-02-02,HOGAR,4,149501.15,0.2,App,478403.68,María Rojas,21.0,Concepción,2023-10-14,Moda,1162066.0
50033,1248,2024-02-03,Tecnología,2,48654.22,0.1,App,87577.6,Sofía Díaz,40.0,Concepción,2023-06-01,Tecnología,847868.0
50034,1234,2024-05-19,Libros,4,25857.41,0.2,App,82743.71,Juan Hernández,56.0,Temuco,2023-10-26,Moda,880253.0
50035,1068,2024-11-09,Libros,2,84525.93,0.05,Marketplace,160599.27,Benjamín Hernández,56.0,Concepción,2024-02-04,Belleza,1158712.0
50036,1257,2024-11-20,Libros,1,68223.08,0.0,Web,68223.08,Daniela Díaz,54.0,Santiago,2023-10-10,Belleza,532963.0
50037,1068,2024-10-10,Moda,3,76653.27,0.1,Web,206963.83,Benjamín Hernández,56.0,Concepción,2024-02-04,Belleza,1158712.0
50038,1047,2024-12-08,Tecnología,4,244296.23,0.0,Web,977184.92,Catalina Muñoz,57.0,Concepción,2024-01-09,Moda,835300.0
50039,1015,2024-08-11,Belleza,5,88721.27,0.05,Web,421426.03,María Soto,28.0,La Serena,2024-02-15,Belleza,675193.0
50040,1134,2024-03-23,Libros,4,207580.91,0.0,Web,830323.64,Vicente Muñoz,55.0,Antofagasta,2022-07-09,Deportes,787557.0
50041,1072,2024-03-07,Libros,1,147722.61,0.1,Marketplace,132950.35,Sofía Díaz,62.0,Antofagasta,2022-10-21,Moda,719718.0
50042,1127,2024-01-12,Moda,3,208805.11,0.0,App,626415.33,Juan Martínez,23.0,La Serena,2024-06-06,Hogar,1106663.0
50043,1267,2024-02-03,Belleza,1,72401.37,0.1,Web,65161.23,Fernanda López,52.0,Valparaíso,2024-05-21,Hogar,1201143.0
50044,1255,2024-07-11,Moda,1,164270.66,0.1,Web,147843.59,Matías Torres,26.0,Puerto Montt,2023-11-09,Belleza,542666.0
50045,1072,2024-10-27,Tecnología,4,60415.88,0.05,Web,229580.34,Sofía Díaz,62.0,Antofagasta,2022-10-21,Moda,719718.0
50046,1072,2024-07-10,Moda,3,111902.72,0.05,Marketplace,318922.75,Sofía Díaz,62.0,Antofagasta,2022-10-21,Moda,719718.0
50047,1111,2024-03-01,Deportes,1,82495.67,0.05,Marketplace,78370.89,Javiera Fuentes,42.0,La Serena,2023-08-03,Belleza,1441947.0
50048,1007,2024-07-15,Moda,4,108010.95,0.0,Web,432043.8,Pedro Martínez,19.0,Antofagasta,2023-04-14,Tecnología,983762.0
50049,1145,2024-09-16,Moda,5,212017.08,0.0,Marketplace,1060085.4,Juan Martínez,38.0,Puerto Montt,2023-02-21,Belleza,990452.0
50050,1111,2024-08-16,Moda,2,167432.4,0.0,App,334864.8,Javiera Fuentes,42.0,La Serena,2023-08-03,Belleza,1441947.0
50051,1100,2024-04-08,Tecnología,1,53617.51,0.15,App,45574.88,Benjamín González,33.0,Valparaíso,2024-09-24,Moda,676564.0
50052,1194,2024-03-16,Deportes,3,148256.21,0.0,App,444768.63,Pedro Sepúlveda,30.0,Temuco,2023-03-15,Libros,652575.0
50053,1196,2024-02-15,Hogar,4,95015.76,0.05,Marketplace,361059.89,Valentina Muñoz,47.0,Rancagua,2023-09-28,Libros,1011346.0
50054,1209,2024-07-13,Belleza,1,81377.19,0.05,Marketplace,77308.33,María Fuentes,62.0,Antofagasta,2022-06-29,Hogar,1064666.0
50055,1024,2024-12-15,Tecnología,2,167244.91,0.1,App,301040.84,María Díaz,50.0,Rancagua,2022-01-25,Deportes,935175.0
50056,1247,2024-12-08,Libros,2,128492.73,0.0,Web,256985.46,Camila Rodríguez,66.0,Valparaíso ,2024-08-14,Libros,1287879.0
50057,1231,2024-10-22,Deportes,2,143302.04,0.0,Marketplace,286604.08,Sofía Contreras,61.0,La Serena,2022-11-02,Belleza,1100487.0
50058,1255,2024-08-07,Tecnología,1,189463.61,0.0,App,189463.61,Matías Torres,26.0,Puerto Montt,2023-11-09,Belleza,542666.0
50059,1078,2024-12-23,Deportes,3,133047.21,0.05,Web,379184.55,Camila Hernández,,Concepción,2024-03-17,Moda,368408.0
50060,1027,2024-04-15,Tecnología,3,93795.34,0.0,Web,281386.02,Pedro Morales,25.0,CONCEPCIÓN,2024-08-21,Moda,618112.0
50061,1219,2024-04-19,Belleza,3,146983.07,0.1,App,396854.29,Vicente Soto,48.0,La Serena,2022-03-06,Libros,1129704.0
50062,1239,2024-04-15,Libros,4,109428.71,0.0,Marketplace,437714.84,Camila Sepúlveda,33.0,Puerto Montt,2024-10-23,Deportes,989563.0
50063,1060,2024-05-07,Moda,5,207281.58,0.2,App,829126.32,Catalina Rojas,,Rancagua,2024-12-31,Hogar,549894.0
50064,1105,2024-10-31,Libros,4,85056.59,0.0,Web,340226.36,Diego Torres,36.0,Concepción,2024-03-19,Tecnología,335011.0
50065,1292,2024-07-13,Libros,5,141977.9,0.05,Web,674395.02,Benjamín Sepúlveda,39.0,Santiago,2023-08-30,Tecnología,428255.0
50066,1299,2024-04-02,Tecnología,5,239166.98,0.2,Web,956667.92,Valentina Morales,31.0,Valparaíso,2023-01-31,Hogar,300000.0
50067,1054,2024-02-08,Tecnología,2,140454.14,0.15,App,238772.04,Diego Díaz,55.0,Antofagasta,2022-05-18,Deportes,747340.0
50068,1227,2024-04-09,Hogar,4,73229.41,0.2,App,234334.11,Antonia Silva,45.0,Santiago,2024-01-07,Libros,999154.0
50069,1043,2024-05-22,Hogar,5,78986.33,0.0,App,394931.65,Juan López,53.0,Puerto Montt,2022-08-01,Hogar,828432.0
50070,1204,2024-03-14,Hogar,1,192105.39,0.05,Marketplace,182500.12,Antonia Torres,61.0,Valparaíso,2023-04-28,Deportes,778537.0
50071,1292,2024-04-28,Libros,5,46127.91,0.0,App,230639.55,Benjamín Sepúlveda,39.0,Santiago,2023-08-30,Tecnología,428255.0
50072,1092,2024-01-06,Tecnología,5,9004.32,0.15,Web,38268.36,Camila Martínez,61.0,Puerto Montt,2024-04-17,Belleza,749609.0
50073,1104,2024-10-16,Tecnología,5,245006.4,0.0,Web,1225032.0,Juan Rodríguez,45.0,Santiago,2023-08-10,Hogar,680194.0
50074,1096,2024-06-18,Belleza,4,249560.96,0.15,App,848507.26,Antonia Sepúlveda,65.0,Antofagasta,2023-09-25,Tecnología,1274773.0
50075,1294,2024-04-09,Tecnología,4,208699.66,0.1,Web,751318.78,Diego Martínez,,Santiago,2024-11-13,Libros,855625.0
50076,1211,2024-07-16,Belleza,3,154704.94,0.0,Marketplace,464114.82,Daniela González,33.0,Temuco,2023-08-08,Deportes,753326.0
50077,1011,2024-06-09,Hogar,4,120162.2,,App,456616.36,Pedro Contreras,29.0,Valparaíso,2023-06-08,Deportes,646982.0
50078,1133,2024-09-26,Libros,5,222178.56,0.05,Marketplace,1055348.16,Pedro Martínez,52.0,Puerto Montt,2024-07-18,moda ,1345570.0
50079,1064,2024-08-05,Moda,4,88310.09,0.05,Marketplace,335578.34,Pedro Contreras,60.0,Antofagasta,2023-08-27,Deportes,675492.0
50080,1232,2024-05-11,Belleza,1,166312.33,0.0,App,166312.33,Javiera Hernández,47.0,Santiago,2024-11-22,Tecnología,607014.0
50081,1236,2024-01-17,Belleza,5,149930.87,0.05,Web,712171.63,Juan Torres,69.0,Antofagasta,2022-08-19,Libros,465046.0
50082,1208,2024-12-03,Tecnología,4,56836.94,0.05,App,215980.37,Catalina Hernández,69.0,Concepción,2022-01-15,Libros,963387.0
50083,1066,2024-01-20,Tecnología,1,35063.48,0.0,Web,35063.48,Fernanda Soto,20.0,Antofagasta,2022-05-02,Belleza,914131.0
50084,1010,2024-10-10,Deportes,2,135604.98,0.0,Marketplace,271209.96,Javiera Morales,58.0,Temuco,2023-02-20,Libros,1043161.0
50085,1155,2024-12-12,Libros,1,100341.01,0.1,Web,90306.91,Javiera Fuentes,57.0,Temuco,2024-09-08,Tecnología,708074.0
50086,1186,2024-03-15,Deportes,3,92632.72,0.1,Marketplace,250108.34,Antonia Rodríguez,22.0,Temuco,2023-10-21,Moda,1144053.0
50087,1197,2024-11-30,Tecnología,5,32980.88,0.05,Marketplace,156659.18,Benjamín Martínez,38.0,La Serena,2023-07-19,Moda,634631.0
50088,1259,2024-06-06,Moda,3,116094.44,0.05,App,330869.15,María Rodríguez,46.0,Valparaíso,2023-04-08,Deportes,1355670.0
50089,1031,2024-09-02,Tecnología,1,121733.52,0.1,Web,109560.17,Diego Hernández,19.0,Antofagasta,2023-02-24,Belleza,1018565.0
50090,1201,2024-11-13,Belleza,2,246825.92,0.15,Web,419604.06,Benjamín González,69.0,Temuco,2024-12-20,Moda,911853.0
50091,1178,2024-06-22,Deportes,4,35543.56,0.0,Marketplace,142174.24,Javiera Sepúlveda,38.0,Antofagasta,2024-01-20,Moda,972526.0
50092,1041,2024-04-25,Belleza,4,201222.35,0.1,Web,724400.46,Sofía Martínez,66.0,Temuco,2022-05-04,Tecnología,664374.0
50093,1213,2024-12-29,Moda,5,191368.22,0.05,App,908999.04,Juan Morales,64.0,Puerto Montt,2023-01-30,Hogar,641985.0
50094,1075,2024-05-25,Deportes,2,106471.39,0.15,App,181001.36,Daniela Soto,29.0,Antofagasta,2024-02-10,Deportes,930622.0
50095,1123,2024-12-18,Deportes,1,208752.99,0.05,Marketplace,198315.34,Matías Silva,52.0,santiago,2022-10-12,Tecnología,879069.0
50096,1207,2024-08-26,Libros,1,84856.45,0.0,Web,84856.45,Valentina Torres,19.0,Valparaíso,2022-09-19,Belleza,961896.0
50097,1014,2024-09-25,Libros,2,242741.22,0.05,App,461208.32,Diego Fuentes,56.0,Puerto Montt,2022-11-19,Belleza,871419.0
50098,1018,2024-11-22,Moda,1,82468.99,0.15,App,70098.64,Daniela Rodríguez,32.0,La Serena,2023-12-01,Moda,881616.0
50099,1255,2024-12-09,Libros,4,125744.9,0.0,Marketplace,502979.6,Matías Torres,26.0,Puerto Montt,2023-11-09,Belleza,542666.0
50100,1249,2024-05-21,Belleza,3,60387.88,0.2,Web,144930.91,Camila Díaz,66.0,Valparaíso,2023-04-28,Moda,1174207.0
50101,1037,2024-08-07,Belleza,3,219584.0,0.05,Web,625814.4,Javiera Sepúlveda,64.0,Concepción,2022-04-08,Deportes,1344679.0
50102,1242,2024-06-06,Deportes,4,80090.16,0.0,Web,320360.64,Vicente González,29.0,Antofagasta,2023-11-20,Tecnología,728234.0
50103,1057,2024-07-11,Moda,2,84140.99,0.0,Web,168281.98,Tomás Hernández,40.0,La Serena,2023-10-06,Tecnología,569729.0
50104,1021,2024-11-21,Libros,2,152675.82,0.1,Marketplace,274816.48,Vicente López,50.0,Santiago,2024-10-20,Libros,606402.0
50105,1252,2024-11-03,Moda,2,91112.41,0.0,Web,182224.82,Matías Díaz,69.0,Temuco,2024-02-24,Libros,1039644.0
50106,1157,2024-12-05,Tecnología,5,124082.95,0.05,Marketplace,589394.01,Camila Soto,18.0,Puerto Montt,2022-01-04,Deportes,835644.0
50107,1061,2024-04-11,Libros,1,207066.05,0.0,Web,207066.05,María Sepúlveda,42.0,Antofagasta,2024-08-16,Belleza,400869.0
50108,1234,2024-04-08,Deportes,3,75557.86,0.1,Marketplace,204006.22,Juan Hernández,56.0,Temuco,2023-10-26,Moda,880253.0
50109,1217,2024-10-21,Belleza,2,7064.48,0.05,Marketplace,13422.51,Pedro Rodríguez,39.0,Valparaíso,2022-09-27,Moda,489906.0
50110,1170,2024-10-11,Moda,3,129875.42,0.15,App,331182.32,Valentina Sepúlveda,53.0,Rancagua,2023-11-11,Tecnología,1009803.0
50111,1080,2024-04-01,Hogar,5,90527.27,0.1,Web,407372.72,María Silva,29.0,Antofagasta,2023-03-13,Moda,815919.0
50112,1052,2024-05-07,Hogar,1,174045.94,0.1,App,156641.35,Valentina Contreras,20.0,Concepción,2024-08-21,Belleza,961551.0
50113,1054,2024-03-18,Tecnología,1,96279.01,0.0,App,96279.01,Diego Díaz,55.0,Antofagasta,2022-05-18,Deportes,747340.0
50114,1171,2024-07-19,Moda,4,134023.84,0.05,Marketplace,509290.59,Benjamín Fuentes,,Valparaíso,2024-11-01,Libros,1146286.0
50115,1083,2024-07-08,Deportes,1,224183.76,0.2,Marketplace,179347.01,Catalina Morales,61.0,Valparaíso,2024-12-26,Moda,979353.0
50116,1289,2024-07-10,Hogar,2,143726.15,0.05,Web,273079.68,Vicente Rodríguez,43.0,Valparaíso,2024-11-20,Hogar,567161.0
50117,1068,2024-05-02,Hogar,5,165292.29,0.05,Marketplace,785138.38,Benjamín Hernández,56.0,Concepción,2024-02-04,Belleza,1158712.0
50118,1237,2024-08-25,Belleza,5,38178.27,0.0,Marketplace,190891.35,María Sepúlveda,56.0,Antofagasta,2022-01-12,Hogar,730389.0
50119,1257,2024-09-07,Deportes,2,178779.6,0.1,App,514885.28,Daniela Díaz,54.0,Santiago,2023-10-10,Belleza,532963.0
50120,1275,2024-02-10,Deportes,2,81293.62,0.1,Web,146328.52,Valentina Rodríguez,46.0,Santiago,2023-07-26,Moda,1010844.0
50121,1241,2024-10-26,Tecnología,3,9482.83,0.0,App,28448.49,Antonia Silva,62.0,Concepción,2022-02-23,Tecnología,738724.0
50122,1130,2024-10-04,Hogar,1,242971.84,0.15,App,206526.06,Catalina López,29.0,Antofagasta,2023-08-08,Deportes,886112.0
50123,1236,2024-05-11,Tecnología,5,128698.77,0.0,Marketplace,643493.85,Juan Torres,69.0,Antofagasta,2022-08-19,Libros,465046.0
50124,1111,2024-08-11,Tecnología,5,146650.4,,App,696589.4,Javiera Fuentes,42.0,La Serena,2023-08-03,Belleza,1441947.0
50125,1299,2024-08-21,Libros,3,34577.84,0.05,Marketplace,98546.84,Valentina Morales,31.0,Valparaíso,2023-01-31,Hogar,300000.0
50126,1190,2024-07-15,Deportes,4,62014.43,0.0,App,248057.72,Sofía Silva,39.0,Valparaíso,2023-03-14,Tecnología,1199974.0
50127,1280,2024-01-26,Deportes,2,107639.7,0.1,Marketplace,193751.46,Diego Hernández,46.0,Santiago,2023-05-08,Hogar,999465.0
50128,1052,2024-10-04,Belleza,5,184092.29,0.05,App,874438.38,Valentina Contreras,20.0,Concepción,2024-08-21,Belleza,961551.0
50129,1148,2024-03-31,Belleza,2,198277.26,0.15,App,337071.34,Tomás Soto,61.0,,2024-01-18,Libros,452063.0
50130,1006,2024-05-07,Tecnología,3,67739.26,0.05,Marketplace,193056.89,Benjamín Díaz,43.0,Concepción,2023-05-06,Deportes,300000.0
50131,1269,2024-08-11,Deportes,5,121838.92,0.1,Marketplace,548275.14,Javiera Hernández,37.0,,2022-02-07,Deportes,724369.0
50132,1148,2024-08-23,Deportes,3,117551.96,0.05,Web,335023.09,Tomás Soto,61.0,,2024-01-18,Libros,452063.0
50133,1044,2024-07-15,Tecnología,3,21258.7,0.15,Web,54209.69,Matías Hernández,60.0,Valparaíso ,2024-03-29,Libros,954839.0
50134,1297,2024-04-29,Moda,3,72307.72,0.0,Marketplace,216923.16,Diego Rojas,49.0,La Serena,2023-03-20,Belleza,1033414.0
50135,1155,2024-03-27,Belleza,4,249146.95,0.05,App,946758.41,Javiera Fuentes,57.0,Temuco,2024-09-08,Tecnología,708074.0
50136,1219,2024-09-13,Belleza,1,161790.46,0.1,Web,145611.41,Vicente Soto,48.0,La Serena,2022-03-06,Libros,1129704.0
50137,1217,2024-03-20,Belleza,5,160218.37,0.1,App,720982.66,Pedro Rodríguez,39.0,Valparaíso,2022-09-27,Moda,489906.0
50138,1240,2024-04-03,Deportes,2,152106.38,0.0,App,304212.76,Antonia Fuentes,60.0,Valparaíso,2022-09-24,Belleza,1130335.0
50139,1061,2024-09-23,Libros,1,12636.98,0.05,Marketplace,12005.13,María Sepúlveda,42.0,Antofagasta,2024-08-16,Belleza,400869.0
50140,1109,2024-12-09,Deportes,4,94004.36,0.0,Marketplace,376017.44,Javiera Muñoz,39.0,La Serena,2024-10-09,Hogar,869322.0
50141,1059,2024-05-09,Deportes,2,5116.95,0.05,App,9722.2,Vicente González,30.0,,2023-07-03,Libros,743349.0
50142,1127,2024-01-07,HOGAR,3,56478.69,0.05,App,160964.27,Juan Martínez,23.0,La Serena,2024-06-06,Hogar,1106663.0
50143,1287,2024-08-06,Moda,3,200080.22,0.0,Web,600240.66,María González,63.0,,2023-04-13,Moda,762715.0
50144,1003,2024-05-10,Hogar,2,49894.67,0.05,Marketplace,94799.87,Sofía Sepúlveda,59.0,Antofagasta,2024-01-22,Belleza,1255397.0
50145,1127,2024-09-29,Hogar,5,70421.73,0.05,Web,334503.22,Juan Martínez,23.0,La Serena,2024-06-06,Hogar,1106663.0
50146,1108,2024-08-11,Belleza,3,52600.54,0.0,Marketplace,157801.62,Valentina Muñoz,62.0,Valparaíso,2024-03-19,Belleza,691047.0
50147,1215,2024-04-13,Hogar,5,23111.0,0.15,App,98221.75,Sofía Díaz,28.0,Rancagua,2022-09-22,Libros,574547.0
50148,1040,2024-01-05,Moda,3,214694.64,0.15,Web,547471.33,María Rojas,21.0,Concepción,2023-10-14,Moda,1162066.0
50149,1197,2024-01-16,Hogar,5,114348.68,0.1,Web,514569.06,Benjamín Martínez,38.0,La Serena,2023-07-19,Moda,634631.0
50150,1088,2024-09-12,Hogar,5,95309.01,0.0,Web,476545.05,Daniela López,66.0,Rancagua,2023-07-07,HOGAR,651774.0
50151,1006,2024-08-26,Moda,5,170411.1,0.15,Web,724247.18,Benjamín Díaz,43.0,Concepción,2023-05-06,Deportes,300000.0
50152,1158,2024-10-13,Belleza,3,67151.85,0.05,App,191382.77,Vicente González,34.0,santiago,2024-06-14,Tecnología,948531.0
50153,1037,2024-10-02,Libros,2,212103.54,0.1,Web,381786.37,Javiera Sepúlveda,64.0,Concepción,2022-04-08,Deportes,1344679.0
50154,1031,2024-08-11,Hogar,3,213334.91,0.1,Marketplace,576004.26,Diego Hernández,19.0,Antofagasta,2023-02-24,Belleza,1018565.0
50155,1094,2024-07-24,Deportes,5,134450.73,0.0,App,672253.65,Valentina Muñoz,58.0,La Serena,2024-07-04,Hogar,933999.0
50156,1020,2024-03-22,Tecnología,2,48049.25,0.1,Web,86488.65,María Muñoz,29.0,Puerto Montt,2023-11-22,Belleza,1407094.0
50157,1154,2024-11-13,Libros,3,76706.79,0.05,App,218614.35,Javiera Torres,59.0,Concepción,2024-03-29,Tecnología,613803.0
50158,1219,2024-01-13,Deportes,1,128087.49,0.1,Marketplace,115278.74,Vicente Soto,48.0,La Serena,2022-03-06,Libros,1129704.0
50159,1139,2024-09-17,Moda,3,64064.21,0.05,Marketplace,182583.0,Sofía Contreras,52.0,Antofagasta,2022-08-09,Hogar,1156268.0
50160,1077,2024-04-15,Deportes,3,82643.81,0.05,Web,235534.86,Tomás Muñoz,25.0,Rancagua,2023-04-15,Moda,1128391.0
50161,1154,2024-12-14,Deportes,5,182711.76,0.0,App,913558.8,Javiera Torres,59.0,Concepción,2024-03-29,Tecnología,613803.0
50162,1188,2024-02-17,Deportes,2,195023.93,0.0,App,390047.86,Catalina Sepúlveda,63.0,La Serena,2023-08-22,Libros,685234.0
50163,1101,2024-12-26,Moda,3,146258.27,0.15,Web,372958.59,Pedro Hernández,,Antofagasta,2024-10-03,Libros,655427.0
50164,1269,2024-07-03,Hogar,2,159408.41,0.15,Web,270994.3,Javiera Hernández,37.0,,2022-02-07,Deportes,724369.0
50165,1174,2024-10-16,Hogar,1,201011.59,0.05,App,190961.01,Valentina Díaz,49.0,Antofagasta,2022-10-09,Libros,623042.0
50166,1152,2024-10-22,Tecnología,3,188972.24,0.1,Web,510225.05,Valentina Rodríguez,28.0,Temuco,2023-10-15,Libros,798818.0
50167,1070,2024-11-21,Deportes,5,65834.83,0.0,Marketplace,329174.15,Fernanda Martínez,43.0,Valparaíso,2022-05-23,Hogar,515998.0
50168,1220,2024-12-17,Tecnología,4,236425.87,0.05,Marketplace,898418.31,Antonia Pérez,54.0,Puerto Montt,2024-08-17,Moda,528664.0
50169,1297,2024-11-01,Moda,5,202211.85,0.1,Web,909953.32,Diego Rojas,49.0,La Serena,2023-03-20,Belleza,1033414.0
50170,1242,2024-11-03,Hogar,5,188690.59,0.0,App,943452.95,Vicente González,29.0,Antofagasta,2023-11-20,Tecnología,728234.0
50171,1208,2024-01-17,Libros,1,135548.74,0.0,Web,135548.74,Catalina Hernández,69.0,Concepción,2022-01-15,Libros,963387.0
50172,1114,2024-03-27,Belleza,3,175852.37,0.05,Web,501179.25,Matías Hernández,23.0,Rancagua,2022-04-12,Moda,458147.0
50173,1056,2024-02-20,Belleza,3,226697.5,0.0,Marketplace,680092.5,Benjamín Rojas,32.0,Antofagasta,2022-05-21,Moda,541550.0
50174,1156,2024-04-23,Tecnología,1,73439.95,0.15,App,62423.96,Juan Pérez,32.0,La Serena,2022-06-28,Libros,556905.0
50175,1094,2024-07-18,Libros,5,231258.7,0.05,Marketplace,1098478.82,Valentina Muñoz,58.0,La Serena,2024-07-04,Hogar,933999.0
50176,1271,2024-12-20,Deportes,4,66721.73,0.05,App,253542.57,Vicente Rodríguez,24.0,Concepción,2022-08-17,Deportes,840419.0
50177,1020,2024-11-18,Tecnología,4,185218.39,0.15,Marketplace,629742.53,María Muñoz,29.0,Puerto Montt,2023-11-22,Belleza,1407094.0
50178,1179,2024-02-15,Libros,4,215915.1,0.05,Web,820477.38,Diego Contreras,58.0,Valparaíso,2024-03-14,Hogar,472495.0
50179,1159,2024-06-18,Hogar,5,23989.57,0.05,App,113950.46,Benjamín Pérez,22.0,,2022-03-04,Libros,781103.0
50180,1051,2024-09-15,Belleza,5,157829.36,0.0,App,789146.8,Fernanda Silva,66.0,Rancagua,2023-11-01,Moda,655370.0
50181,1212,2024-12-06,Belleza,4,127954.49,0.0,App,511817.96,Daniela Soto,35.0,Antofagasta,2024-09-08,Moda,400040.0
50182,1171,2024-07-22,Tecnología,4,197852.8,0.0,Marketplace,791411.2,Benjamín Fuentes,,Valparaíso,2024-11-01,Libros,1146286.0
50183,1275,2024-02-18,Belleza,2,129580.52,0.15,Marketplace,220286.88,Valentina Rodríguez,46.0,Santiago,2023-07-26,Moda,1010844.0
50184,1102,2024-05-24,Deportes,1,149041.95,0.0,App,149041.95,Sofía Muñoz,69.0,Rancagua,2022-02-17,Deportes,787734.0
50185,1260,2024-04-26,Tecnología,5,51258.17,0.1,Marketplace,230661.76,Javiera González,20.0,Antofagasta,2022-10-19,Deportes,970295.0
50186,1296,2024-09-18,Belleza,2,210373.72,0.0,Marketplace,420747.44,Diego Martínez,49.0,Antofagasta,2024-02-22,Libros,933572.0
50187,1054,2024-07-11,Hogar,4,231460.49,0.05,Marketplace,879549.86,Diego Díaz,55.0,Antofagasta,2022-05-18,Deportes,747340.0
50188,1120,2024-07-25,Deportes,1,169479.51,0.0,Web,169479.51,Catalina Rojas,40.0,Antofagasta,2022-02-15,Moda,812331.0
50189,1246,2024-07-17,Deportes,4,208967.16,0.15,App,710488.34,Valentina Muñoz,62.0,La Serena,2024-03-02,Libros,854212.0
