id_transaccion,id_cliente,fecha_transaccion,fecha_registro,nombre,edad,grupo_edad,ciudad,region,macrozona,segmento_cliente,canal_adquisicion,canal_venta,categoria_producto,categoria_favorita,cantidad,precio_unitario,descuento_pct,monto_bruto,monto_descuento,monto_compra,ingreso_estimado,score_fidelizacion,nivel_fidelizacion,total_transacciones,gasto_total_cliente,ticket_promedio_cliente,cantidad_total_productos,descuento_promedio_cliente,score_fidelizacion_promedio,ciudad_normalizada,metodo_pago_preferido,outlier_precio_unitario_iqr,outlier_precio_unitario_zscore,outlier_monto_compra_iqr,outlier_monto_compra_zscore,antiguedad_cliente_dias,codigo_macrozona,compra_con_descuento,score_fidelizacion_norm,rango_monto_compra
50011,1251,2024-12-06,2023-01-01,María Rojas,30,30-44,Valparaíso,Sin información,Sin información,Premium,Google Ads,App,Deportes,Libros,4,106482.32,0.2,425929.28,85185.85600000001,340743.42,993285.0,46,Baja,5,1145046.3599999999,229009.27199999997,10,0.09,46.0,valparaiso,Transferencia,False,False,False,False,705,0,Sí,0.1,Alto
50012,1141,2024-04-23,2023-03-04,Matías Fuentes,56,45-59,Temuco,RegiÃ³n de La AraucanÃ­a,Sur,Plata,Google Ads,App,Libros,Hogar,3,53302.0,0.1,159906.0,15990.6,143915.4,777672.0,44,Baja,3,1066386.98,355462.32666666666,9,0.11666666666666665,44.0,temuco,Tarjeta débito,False,False,False,False,416,3,Sí,0.0666666666666666,Medio
50013,1199,2024-09-25,2023-08-23,Fernanda Sepúlveda,42,30-44,Valparaíso,Sin información,Sin información,Oro,Facebook,App,Libros,Hogar,2,179478.01,0.1,358956.02,35895.602000000006,323060.42,1071786.0,78,Media,4,1498369.94,374592.485,11,0.0875,78.0,valparaiso,Tarjeta crédito,False,False,False,False,399,0,Sí,0.6333333333333333,Alto
50014,1183,2024-12-30,2022-12-15,Juan Hernández,24,18-29,Valparaíso,Sin información,Sin información,Oro,Orgánico,Web,Deportes,Tecnología,1,192489.77,0.05,192489.77,9624.4885,182865.28,871378.0,44,Baja,5,1025967.85,205193.57,7,0.06,44.0,valparaiso,Tarjeta débito,False,False,False,False,746,0,Sí,0.0666666666666666,Medio
50015,1090,2024-09-23,2023-08-04,Diego González,60,60+,Concepción,Sin información,Sin información,Premium,Instagram,Marketplace,Libros,Libros,5,226702.84,0.0,1133514.2,0.0,1107260.74625,805526.0,80,Media,2,1485147.59625,742573.798125,9,0.075,80.0,concepcion,PayPal,False,False,True,False,416,0,No,0.6666666666666666,Muy alto
50016,1120,2024-10-28,2022-02-15,Catalina Rojas,40,30-44,Antofagasta,RegiÃ³n de Antofagasta,Norte,Bronce,Instagram,App,Tecnología,Moda,3,143479.59,0.05,430438.77,21521.938500000004,408916.83,812331.0,100,Alta,3,940688.5700000001,313562.8566666667,6,0.03333333333333333,100.0,antofagasta,Transferencia,False,False,False,False,986,1,Sí,1.0,Alto
50017,1114,2024-06-11,2022-04-12,Matías Hernández,23,18-29,Rancagua,RegiÃ³n de O'Higgins,Centro,Plata,Referido,Web,Hogar,Moda,2,180964.85,0.0,361929.7,0.0,307640.24,458147.0,43,Baja,9,3642984.02,404776.0022222222,27,0.061111111111111116,43.0,rancagua,Tarjeta crédito,False,False,False,False,791,2,No,0.05,Alto
50018,1006,2024-04-12,2023-05-06,Benjamín Díaz,43,30-44,Concepción,Sin información,Sin información,Oro,Facebook,App,Tecnología,Deportes,2,242531.81,0.0,485063.62,0.0,485063.62,300000.0,78,Media,6,2116122.96,352687.16,21,0.06666666666666667,78.0,concepcion,Tarjeta crédito,False,False,False,False,342,0,No,0.6333333333333333,Alto
50019,1299,2024-07-30,2023-01-31,Valentina Morales,31,30-44,Valparaíso,Sin información,Sin información,Premium,Instagram,Marketplace,Libros,Hogar,5,16543.96,0.15,82719.79999999999,12407.969999999998,70311.83,300000.0,56,Baja,8,2338658.29,292332.28625,24,0.05625,56.0,valparaiso,Tarjeta crédito,False,False,False,False,546,0,Sí,0.2666666666666666,Bajo
50020,1066,2024-08-24,2022-05-02,Fernanda Soto,20,18-29,Antofagasta,RegiÃ³n de Antofagasta,Norte,Premium,Orgánico,Marketplace,Hogar,Belleza,2,82475.71,0.0,164951.42,0.0,140208.71,914131.0,84,Media,4,277513.62,69378.405,6,0.0125,84.0,antofagasta,Tarjeta crédito,False,False,False,False,845,1,No,0.7333333333333333,Medio
50021,1295,2024-05-22,2023-12-15,Fernanda Contreras,47,45-59,Valparaíso,Sin información,Sin información,Premium,Referido,Marketplace,Tecnología,Belleza,3,27335.56,0.2,82006.68000000001,16401.336000000003,65605.34,564383.0,99,Alta,3,708759.07,236253.02333333332,8,0.11666666666666665,99.0,valparaiso,PayPal,False,False,False,False,159,0,Sí,0.9833333333333332,Bajo
50022,1215,2024-01-10,2022-09-22,Sofía Díaz,28,18-29,Rancagua,RegiÃ³n de O'Higgins,Centro,Plata,Referido,Web,Hogar,Libros,1,65720.32,0.1,65720.32,6572.032000000001,59148.29,574547.0,41,Baja,5,2216003.8062500004,443200.7612500001,16,0.11000000000000001,41.0,rancagua,Transferencia,False,False,False,False,475,2,Sí,0.0166666666666666,Bajo
50023,1187,2024-05-15,2022-08-08,Sofía Contreras,50,45-59,Santiago,RegiÃ³n Metropolitana,Centro,Bronce,Referido,Web,Moda,Tecnología,3,144942.75,0.0,434828.25,0.0,434828.25,1085456.0,55,Baja,7,1596488.69,228069.81285714285,19,0.03571428571428571,55.0,santiago,Transferencia,False,False,False,False,646,2,No,0.25,Alto
50024,1240,2024-07-16,2022-09-24,Antonia Fuentes,60,60+,Valparaíso,Sin información,Sin información,Oro,Facebook,App,Deportes,Belleza,5,24165.53,0.15,120827.65,18124.1475,102703.5,1130335.0,100,Alta,4,1357240.01,339310.0025,15,0.0625,100.0,valparaiso,PayPal,False,False,False,False,661,0,Sí,1.0,Bajo
50025,1027,2024-05-20,2024-08-21,Pedro Morales,25,18-29,Concepción,Sin información,Sin información,Plata,Facebook,Web,Moda,Moda,5,102373.76,0.0,511868.8,0.0,511868.8,618112.0,71,Media,5,1923164.77,384632.954,15,0.04,71.0,concepcion,Transferencia,False,False,False,False,-93,0,No,0.5166666666666667,Alto
50026,1283,2024-07-14,2023-02-22,Fernanda Martínez,59,45-59,Valparaíso,Sin información,Sin información,Plata,Facebook,Web,Libros,Libros,3,185196.63,0.15,555589.89,83338.4835,472251.41,820956.0,55,Baja,5,2429100.65,485820.13,14,0.06999999999999999,55.0,valparaiso,PayPal,False,False,False,False,508,0,Sí,0.25,Alto
50027,1052,2024-08-28,2024-08-21,Valentina Contreras,20,18-29,Concepción,Sin información,Sin información,Premium,Referido,Marketplace,Tecnología,Belleza,4,149057.42,0.15,596229.68,89434.452,506795.23,961551.0,60,Baja,6,3184371.08,530728.5133333333,21,0.09999999999999999,60.0,concepcion,Transferencia,False,False,False,False,7,0,Sí,0.3333333333333333,Alto
50028,1145,2024-03-15,2023-02-21,Juan Martínez,38,30-44,Puerto Montt,RegiÃ³n de Los Lagos,Sur,Bronce,Instagram,Web,Moda,Belleza,3,242848.62,0.15,728545.86,109281.879,619263.98,990452.0,97,Alta,4,2002336.25,500584.0625,11,0.1375,97.0,puerto montt,Tarjeta crédito,False,False,False,False,388,3,Sí,0.95,Muy alto
50029,1006,2024-08-01,2023-05-06,Benjamín Díaz,43,30-44,Concepción,Sin información,Sin información,Oro,Facebook,Marketplace,Hogar,Deportes,5,25165.52,0.1,125827.6,12582.760000000002,113244.84,300000.0,78,Media,6,2116122.96,352687.16,21,0.06666666666666667,78.0,concepcion,Tarjeta crédito,False,False,False,False,453,0,Sí,0.6333333333333333,Bajo
50030,1116,2024-08-09,2023-02-03,María Torres,36,30-44,Concepción,Sin información,Sin información,Oro,Orgánico,App,Libros,Libros,1,86120.99,0.0,86120.99,0.0,73202.84,778801.0,79,Media,3,232099.3,77366.43333333333,6,0.03333333333333333,79.0,concepcion,Transferencia,False,False,False,False,553,0,No,0.65,Bajo
50031,1161,2024-08-31,2023-01-20,Vicente Torres,45,45-59,Antofagasta,RegiÃ³n de Antofagasta,Norte,Oro,Facebook,Marketplace,Libros,Moda,3,239187.32,0.0,717561.96,0.0,717561.96,1276579.0,95,Alta,7,3637180.77,519597.2528571429,26,0.07857142857142858,95.0,antofagasta,Tarjeta crédito,False,False,False,False,589,1,No,0.9166666666666666,Muy alto
50032,1040,2024-02-02,2023-10-14,María Rojas,21,18-29,Concepción,Sin información,Sin información,Plata,Google Ads,App,Hogar,Moda,4,149501.15,0.2,598004.6,119600.92,478403.68,1162066.0,51,Baja,11,4250917.91,386447.08272727276,33,0.1,51.0,concepcion,PayPal,False,False,False,False,111,0,Sí,0.1833333333333333,Alto
50033,1248,2024-02-03,2023-06-01,Sofía Díaz,40,30-44,Concepción,Sin información,Sin información,Premium,Orgánico,App,Tecnología,Tecnología,2,48654.22,0.1,97308.44,9730.844,87577.6,847868.0,52,Baja,2,534430.02,267215.01,4,0.05,52.0,concepcion,Tarjeta débito,False,False,False,False,247,0,Sí,0.2,Bajo
50034,1234,2024-05-19,2023-10-26,Juan Hernández,56,45-59,Temuco,RegiÃ³n de La AraucanÃ­a,Sur,Bronce,Instagram,App,Libros,Moda,4,25857.41,0.2,103429.64,20685.928,82743.71,880253.0,87,Alta,2,286749.93,143374.965,7,0.15000000000000002,87.0,temuco,PayPal,False,False,False,False,206,3,Sí,0.7833333333333333,Bajo
50035,1068,2024-11-09,2024-02-04,Benjamín Hernández,56,45-59,Concepción,Sin información,Sin información,Bronce,Instagram,Marketplace,Libros,Belleza,2,84525.93,0.05,169051.86,8452.592999999999,160599.27,1158712.0,69,Media,6,1771466.5,295244.4166666667,14,0.05833333333333334,69.0,concepcion,Tarjeta débito,False,False,False,False,279,0,Sí,0.4833333333333333,Medio
50036,1257,2024-11-20,2023-10-10,Daniela Díaz,54,45-59,Santiago,RegiÃ³n Metropolitana,Centro,Oro,Orgánico,Web,Libros,Belleza,1,68223.08,0.0,68223.08,0.0,68223.08,532963.0,45,Baja,7,2918968.27,416995.46714285715,20,0.07142857142857142,45.0,santiago,PayPal,False,False,False,False,407,2,No,0.0833333333333333,Bajo
50037,1068,2024-10-10,2024-02-04,Benjamín Hernández,56,45-59,Concepción,Sin información,Sin información,Bronce,Instagram,Web,Moda,Belleza,3,76653.27,0.1,229959.81,22995.981,206963.83,1158712.0,69,Media,6,1771466.5,295244.4166666667,14,0.05833333333333334,69.0,concepcion,Tarjeta débito,False,False,False,False,249,0,Sí,0.4833333333333333,Medio
50038,1047,2024-12-08,2024-01-09,Catalina Muñoz,57,45-59,Concepción,Sin información,Sin información,Oro,Referido,Web,Tecnología,Moda,4,244296.23,0.0,977184.92,0.0,977184.92,835300.0,59,Baja,5,2376604.1,475320.82,15,0.07999999999999999,59.0,concepcion,Tarjeta débito,False,False,False,False,334,0,No,0.3166666666666666,Muy alto
50039,1015,2024-08-11,2024-02-15,María Soto,28,18-29,La Serena,RegiÃ³n de Coquimbo,Norte,Plata,Facebook,Web,Belleza,Belleza,5,88721.27,0.05,443606.35,22180.317500000005,421426.03,675193.0,65,Media,7,2878947.53625,411278.2194642857,19,0.03571428571428571,65.0,la serena,PayPal,False,False,False,False,178,1,Sí,0.4166666666666667,Alto
50040,1134,2024-03-23,2022-07-09,Vicente Muñoz,55,45-59,Antofagasta,RegiÃ³n de Antofagasta,Norte,Bronce,Google Ads,Web,Libros,Deportes,4,207580.91,0.0,830323.64,0.0,830323.64,787557.0,71,Media,5,1562747.2,312549.44,13,0.030000000000000006,71.0,antofagasta,Tarjeta débito,False,False,False,False,623,1,No,0.5166666666666667,Muy alto
50041,1072,2024-03-07,2022-10-21,Sofía Díaz,62,60+,Antofagasta,RegiÃ³n de Antofagasta,Norte,Plata,Facebook,Marketplace,Libros,Moda,1,147722.61,0.1,147722.61,14772.261,132950.35,719718.0,97,Alta,4,1341058.04,335264.51,13,0.05,97.0,antofagasta,PayPal,False,False,False,False,503,1,Sí,0.95,Bajo
50042,1127,2024-01-12,2024-06-06,Juan Martínez,23,18-29,La Serena,RegiÃ³n de Coquimbo,Norte,Premium,Instagram,App,Moda,Hogar,3,208805.11,0.0,626415.33,0.0,626415.33,1106663.0,47,Baja,6,2635626.11,439271.0183333333,21,0.025000000000000005,47.0,la serena,Tarjeta crédito,False,False,False,False,-146,1,No,0.1166666666666666,Muy alto
50043,1267,2024-02-03,2024-05-21,Fernanda López,52,45-59,Valparaíso,Sin información,Sin información,Premium,Referido,Web,Belleza,Hogar,1,72401.37,0.1,72401.37,7240.137,65161.23,1201143.0,70,Media,3,822298.77,274099.59,5,0.10000000000000002,70.0,valparaiso,Tarjeta débito,False,False,False,False,-108,0,Sí,0.5,Bajo
50044,1255,2024-07-11,2023-11-09,Matías Torres,26,18-29,Puerto Montt,RegiÃ³n de Los Lagos,Sur,Plata,Referido,Web,Moda,Belleza,1,164270.66,0.1,164270.66,16427.066000000003,147843.59,542666.0,88,Alta,9,2027919.0899999999,225324.34333333332,19,0.05555555555555555,88.0,puerto montt,Tarjeta crédito,False,False,False,False,245,3,Sí,0.8,Medio
50045,1072,2024-10-27,2022-10-21,Sofía Díaz,62,60+,Antofagasta,RegiÃ³n de Antofagasta,Norte,Plata,Facebook,Web,Tecnología,Moda,4,60415.88,0.05,241663.52,12083.176,229580.34,719718.0,97,Alta,4,1341058.04,335264.51,13,0.05,97.0,antofagasta,PayPal,False,False,False,False,737,1,Sí,0.95,Medio
50046,1072,2024-07-10,2022-10-21,Sofía Díaz,62,60+,Antofagasta,RegiÃ³n de Antofagasta,Norte,Plata,Facebook,Marketplace,Moda,Moda,3,111902.72,0.05,335708.16000000003,16785.408000000003,318922.75,719718.0,97,Alta,4,1341058.04,335264.51,13,0.05,97.0,antofagasta,PayPal,False,False,False,False,628,1,Sí,0.95,Alto
50047,1111,2024-03-01,2023-08-03,Javiera Fuentes,42,30-44,La Serena,RegiÃ³n de Coquimbo,Norte,Oro,Instagram,Marketplace,Deportes,Belleza,1,82495.67,0.05,82495.67,4124.7835000000005,78370.89,1441947.0,82,Media,7,2086892.99,298127.57,17,0.042857142857142864,82.0,la serena,PayPal,False,False,False,False,211,1,Sí,0.7,Bajo
50048,1007,2024-07-15,2023-04-14,Pedro Martínez,19,18-29,Antofagasta,RegiÃ³n de Antofagasta,Norte,Bronce,Referido,Web,Moda,Tecnología,4,108010.95,0.0,432043.8,0.0,432043.8,983762.0,71,Media,3,1795459.0862500002,598486.3620833334,14,0.03333333333333333,71.0,antofagasta,PayPal,False,False,False,False,458,1,No,0.5166666666666667,Alto
50049,1145,2024-09-16,2023-02-21,Juan Martínez,38,30-44,Puerto Montt,RegiÃ³n de Los Lagos,Sur,Bronce,Instagram,Marketplace,Moda,Belleza,5,212017.08,0.0,1060085.4,0.0,1060085.4,990452.0,97,Alta,4,2002336.25,500584.0625,11,0.1375,97.0,puerto montt,Tarjeta crédito,False,False,False,False,573,3,No,0.95,Muy alto
50050,1111,2024-08-16,2023-08-03,Javiera Fuentes,42,30-44,La Serena,RegiÃ³n de Coquimbo,Norte,Oro,Instagram,App,Moda,Belleza,2,167432.4,0.0,334864.8,0.0,334864.8,1441947.0,82,Media,7,2086892.99,298127.57,17,0.042857142857142864,82.0,la serena,PayPal,False,False,False,False,379,1,No,0.7,Alto
50051,1100,2024-04-08,2024-09-24,Benjamín González,33,30-44,Valparaíso,Sin información,Sin información,Premium,Referido,App,Tecnología,Moda,1,53617.51,0.15,53617.51,8042.6265,45574.88,676564.0,96,Alta,6,1147085.78,191180.96333333335,12,0.06666666666666667,96.0,valparaiso,PayPal,False,False,False,False,-169,0,Sí,0.9333333333333332,Bajo
50052,1194,2024-03-16,2023-03-15,Pedro Sepúlveda,30,30-44,Temuco,RegiÃ³n de La AraucanÃ­a,Sur,Bronce,Google Ads,App,Deportes,Libros,3,148256.21,0.0,444768.63,0.0,444768.63,652575.0,53,Baja,2,608100.3200000001,304050.16000000003,6,0.1,53.0,temuco,Transferencia,False,False,False,False,367,3,No,0.2166666666666666,Alto
50053,1196,2024-02-15,2023-09-28,Valentina Muñoz,47,45-59,Rancagua,RegiÃ³n de O'Higgins,Centro,Premium,Referido,Marketplace,Hogar,Libros,4,95015.76,0.05,380063.04,19003.152,361059.89,1011346.0,76,Media,4,2023922.38,505980.595,16,0.1,76.0,rancagua,Transferencia,False,False,False,False,140,2,Sí,0.6,Alto
50054,1209,2024-07-13,2022-06-29,María Fuentes,62,60+,Antofagasta,RegiÃ³n de Antofagasta,Norte,Plata,Referido,Marketplace,Belleza,Hogar,1,81377.19,0.05,81377.19,4068.859500000001,77308.33,1064666.0,42,Baja,3,682969.17,227656.39,7,0.016666666666666666,42.0,antofagasta,Tarjeta débito,False,False,False,False,745,1,Sí,0.0333333333333333,Bajo
50055,1024,2024-12-15,2022-01-25,María Díaz,50,45-59,Rancagua,RegiÃ³n de O'Higgins,Centro,Bronce,Orgánico,App,Tecnología,Deportes,2,167244.91,0.1,334489.82,33448.982,301040.84,935175.0,98,Alta,9,2557087.2199999997,284120.8022222222,25,0.08888888888888889,98.0,rancagua,Tarjeta débito,False,False,False,False,1055,2,Sí,0.9666666666666668,Alto
50056,1247,2024-12-08,2024-08-14,Camila Rodríguez,66,60+,Valparaíso,Sin información,Sin información,Oro,Referido,Web,Libros,Libros,2,128492.73,0.0,256985.46,0.0,256985.46,1287879.0,77,Media,6,1314688.22,219114.70333333334,16,0.05000000000000001,77.0,valparaiso,Tarjeta crédito,False,False,False,False,116,0,No,0.6166666666666667,Medio
50057,1231,2024-10-22,2022-11-02,Sofía Contreras,61,60+,La Serena,RegiÃ³n de Coquimbo,Norte,Plata,Orgánico,Marketplace,Deportes,Belleza,2,143302.04,0.0,286604.08,0.0,286604.08,1100487.0,99,Alta,4,1181168.4,295292.1,10,0.05,99.0,la serena,Tarjeta crédito,False,False,False,False,720,1,No,0.9833333333333332,Medio
50058,1255,2024-08-07,2023-11-09,Matías Torres,26,18-29,Puerto Montt,RegiÃ³n de Los Lagos,Sur,Plata,Referido,App,Tecnología,Belleza,1,189463.61,0.0,189463.61,0.0,189463.61,542666.0,88,Alta,9,2027919.0899999999,225324.34333333332,19,0.05555555555555555,88.0,puerto montt,Tarjeta crédito,False,False,False,False,272,3,No,0.8,Medio
50059,1078,2024-12-23,2024-03-17,Camila Hernández,44,30-44,Concepción,Sin información,Sin información,Premium,Instagram,Web,Deportes,Moda,3,133047.21,0.05,399141.63,19957.0815,379184.55,368408.0,71,Media,2,491449.33999999997,245724.66999999998,4,0.025,71.0,concepcion,Tarjeta crédito,False,False,False,False,281,0,Sí,0.5166666666666667,Alto
50060,1027,2024-04-15,2024-08-21,Pedro Morales,25,18-29,Concepción,Sin información,Sin información,Plata,Facebook,Web,Tecnología,Moda,3,93795.34,0.0,281386.02,0.0,281386.02,618112.0,71,Media,5,1923164.77,384632.954,15,0.04,71.0,concepcion,Transferencia,False,False,False,False,-128,0,No,0.5166666666666667,Medio
50061,1219,2024-04-19,2022-03-06,Vicente Soto,48,45-59,La Serena,RegiÃ³n de Coquimbo,Norte,Premium,Referido,App,Belleza,Libros,3,146983.07,0.1,440949.21,44094.921,396854.29,1129704.0,60,Baja,5,1993520.16,398704.032,14,0.08,60.0,la serena,Tarjeta crédito,False,False,False,False,775,1,Sí,0.3333333333333333,Alto
50062,1239,2024-04-15,2024-10-23,Camila Sepúlveda,33,30-44,Puerto Montt,RegiÃ³n de Los Lagos,Sur,Bronce,Instagram,Marketplace,Libros,Deportes,4,109428.71,0.0,437714.84,0.0,437714.84,989563.0,64,Baja,3,1419256.8800000001,473085.6266666667,11,0.05000000000000001,64.0,puerto montt,Tarjeta débito,False,False,False,False,-191,3,No,0.4,Alto
50063,1060,2024-05-07,2024-12-31,Catalina Rojas,44,30-44,Rancagua,RegiÃ³n de O'Higgins,Centro,Bronce,Orgánico,App,Moda,Hogar,5,207281.58,0.2,1036407.9,207281.58,829126.32,549894.0,48,Baja,3,1548570.7,516190.23333333334,10,0.11666666666666665,48.0,rancagua,Tarjeta crédito,False,False,False,False,-238,2,Sí,0.1333333333333333,Muy alto
50064,1105,2024-10-31,2024-03-19,Diego Torres,36,30-44,Concepción,Sin información,Sin información,Plata,Facebook,Web,Libros,Tecnología,4,85056.59,0.0,340226.36,0.0,340226.36,335011.0,68,Media,6,1563705.13,260617.52166666664,22,0.05000000000000001,68.0,concepcion,Tarjeta débito,False,False,False,False,226,0,No,0.4666666666666667,Alto
50065,1292,2024-07-13,2023-08-30,Benjamín Sepúlveda,39,30-44,Santiago,RegiÃ³n Metropolitana,Centro,Bronce,Orgánico,Web,Libros,Tecnología,5,141977.9,0.05,709889.5,35494.475,674395.02,428255.0,82,Media,3,1468480.94,489493.64666666667,13,0.05000000000000001,82.0,santiago,Tarjeta débito,False,False,False,False,318,2,Sí,0.7,Muy alto
50066,1299,2024-04-02,2023-01-31,Valentina Morales,31,30-44,Valparaíso,Sin información,Sin información,Premium,Instagram,Web,Tecnología,Hogar,5,239166.98,0.2,1195834.9,239166.98000000004,956667.92,300000.0,56,Baja,8,2338658.29,292332.28625,24,0.05625,56.0,valparaiso,Tarjeta crédito,False,False,False,False,427,0,Sí,0.2666666666666666,Muy alto
50067,1054,2024-02-08,2022-05-18,Diego Díaz,55,45-59,Antofagasta,RegiÃ³n de Antofagasta,Norte,Bronce,Orgánico,App,Tecnología,Deportes,2,140454.14,0.15,280908.28,42136.242000000006,238772.04,747340.0,55,Baja,5,2471994.9699999997,494398.99399999995,13,0.06,55.0,antofagasta,Tarjeta débito,False,False,False,False,631,1,Sí,0.25,Medio
50068,1227,2024-04-09,2024-01-07,Antonia Silva,45,45-59,Santiago,RegiÃ³n Metropolitana,Centro,Premium,Orgánico,App,Hogar,Libros,4,73229.41,0.2,292917.64,58583.528000000006,234334.11,999154.0,96,Alta,2,639465.87,319732.935,6,0.1,96.0,santiago,Transferencia,False,False,False,False,93,2,Sí,0.9333333333333332,Medio
50069,1043,2024-05-22,2022-08-01,Juan López,53,45-59,Puerto Montt,RegiÃ³n de Los Lagos,Sur,Oro,Google Ads,App,Hogar,Hogar,5,78986.33,0.0,394931.65,0.0,394931.65,828432.0,91,Alta,5,1788320.62,357664.124,22,0.06999999999999999,91.0,puerto montt,Tarjeta débito,False,False,False,False,660,3,No,0.85,Alto
50070,1204,2024-03-14,2023-04-28,Antonia Torres,61,60+,Valparaíso,Sin información,Sin información,Oro,Google Ads,Marketplace,Hogar,Deportes,1,192105.39,0.05,192105.39,9605.2695,182500.12,778537.0,99,Alta,6,1879933.37,313322.22833333333,17,0.05000000000000001,99.0,valparaiso,Transferencia,False,False,False,False,321,0,Sí,0.9833333333333332,Medio
50071,1292,2024-04-28,2023-08-30,Benjamín Sepúlveda,39,30-44,Santiago,RegiÃ³n Metropolitana,Centro,Bronce,Orgánico,App,Libros,Tecnología,5,46127.91,0.0,230639.55,0.0,230639.55,428255.0,82,Media,3,1468480.94,489493.64666666667,13,0.05000000000000001,82.0,santiago,Tarjeta débito,False,False,False,False,242,2,No,0.7,Medio
